평균기온(°C),평균 풍속(m/s),평균 이슬점온도(°C),평균 증기압(hPa),평균 지면온도(°C),지점명,,
24.1,1.8,18,20.8,27.5,군산,,
26.1,2.5,21,24.9,27,군산,,
24.6,4.3,22.7,27.5,24.4,군산,,
20.6,2.2,19.6,22.9,22.3,군산,,
21.6,1.9,17.9,20.5,25.6,군산,,
22.9,1.7,18.7,21.7,26.9,군산,,
21.6,2.2,18.3,21,22,군산,,
21.1,2.8,18.9,21.9,22.6,군산,,
22.6,2.6,19.3,22.4,26.3,군산,,
25.6,1.3,20.7,24.5,28.2,군산,,
26,1.9,23.4,28.7,29.5,군산,,
27.3,2.4,23.2,28.4,31.2,군산,,
27.8,1.9,23.4,28.8,31.4,군산,,
28.2,1.9,24.1,30,32.9,군산,,
16.2,2.9,11.7,14.1,15.7,전주,,
13,1.8,6.9,9.9,15.7,전주,,
11.2,1.7,8.5,11.1,13.7,전주,,
13.8,1.7,4.4,8.5,15.6,전주,,
13.1,1.2,5.5,9.2,13.5,전주,,
13.6,1,8.9,11.4,14.4,전주,,
14.2,1.4,7.1,10.1,16.6,전주,,
17.3,1.3,8,10.8,18.6,전주,,
16.3,1.8,13.3,15.5,15.6,전주,,
12.8,4.1,11.5,13.5,13.2,전주,,
15.4,1.6,10.2,12.5,17,전주,,
17.9,1.7,8.6,11.2,18.1,전주,,
21.2,2,8.6,11.2,18.6,전주,,
21.9,2,10.3,12.6,21.3,전주,,
22.1,1.9,18.4,21.2,21.2,전주,,
20.4,1.6,17.8,20.4,19.5,전주,,
19.5,2,16.5,18.7,22.1,전주,,
16.7,1.6,9.4,11.9,20.5,전주,,
20.9,2.1,12.6,15.1,19.5,전주,,
25.5,1.7,20,23.5,24.7,전주,,
25.3,1.2,19.5,22.6,23.8,전주,,
21.7,1.1,18.9,21.9,23.1,전주,,
21.4,1.1,11.9,14.2,21,전주,,
17.8,1.6,9.5,12,18.4,전주,,
17.3,1.6,10.7,12.9,21.3,전주,,
19.4,1.3,10.6,12.9,22.1,전주,,
20.2,1.6,11.1,13.2,22.3,전주,,
20.9,1.4,11.6,13.7,23.3,전주,,
21.3,1.7,12.5,14.5,23.9,전주,,
20.8,1.3,12.5,14.6,22.2,전주,,
19.7,1.3,13.2,15.2,20.8,전주,,
21.7,1.4,13.3,15.3,23.6,전주,,
19.9,1.2,14.5,16.5,20.6,전주,,
19.9,2,14.3,16.3,24.6,전주,,
20.4,2.6,9.9,12.2,24.4,전주,,
21.6,1.5,9.5,11.8,25,전주,,
23.3,1.6,10.4,12.7,22.1,전주,,
24.6,1.6,14.1,16.3,27.3,전주,,
24.8,1.5,18.7,21.6,29.3,전주,,
24.9,1.4,19.1,22.1,30.4,전주,,
22.7,2.1,17.2,19.7,27.8,전주,,
22.6,2,14.2,16.2,29.5,전주,,
24.7,1.5,13.3,15.3,30.5,전주,,
21.5,1.3,17.9,20.7,23.1,전주,,
24.1,2.1,21,24.9,25.6,전주,,
26.4,1.8,20.7,24.5,26.9,전주,,
25.1,2.7,21,24.9,25.1,전주,,
25.5,2.1,20,23.4,26.2,전주,,
26.2,1.6,18.4,21.2,27.4,전주,,
27.2,2.1,20.6,24.3,27,전주,,
25.7,2.8,22.2,26.7,25.1,전주,,
21.1,2.1,20,23.5,22.5,전주,,
22.6,1.5,16.6,19,24.9,전주,,
24.6,1.6,16.7,19.2,26,전주,,
22.3,1.3,19,22,23,전주,,
22.6,2.8,18.9,21.9,23.8,전주,,
24,2.5,18.7,21.6,25.3,전주,,
27.2,1.1,20,23.4,28.5,전주,,
28.6,1.7,23.5,29,29.9,전주,,
28.9,2,23.3,28.7,31.2,전주,,
29.5,1.6,23.2,28.5,31.7,전주,,
29.5,1.9,24.2,30.2,31.3,전주,,
15.3,3.8,11.3,13.6,16.6,부안,,
12.7,1.6,6.6,9.8,15.6,부안,,
11.3,1.8,8.7,11.3,15.5,부안,,
13,1.3,5.3,9,16.3,부안,,
12.6,1,6.9,10.1,13.9,부안,,
13.2,1.6,8.3,10.9,17.1,부안,,
12.9,1.3,6.4,9.6,19.2,부안,,
15.5,1.1,8.5,11.1,20.7,부안,,
15.9,3.2,13.2,15.3,16,부안,,
13,3.8,11.2,13.3,13.9,부안,,
14.5,1.5,10.6,12.8,16.4,부안,,
18,1.9,9.5,11.9,21.9,부안,,
20,1.8,8.6,11.2,20.4,부안,,
20.7,2.3,10.6,12.9,24,부안,,
21.4,1.9,18.8,21.7,21.9,부안,,
20.4,2.2,18,20.7,20.4,부안,,
19,1.9,15.7,17.9,22.5,부안,,
15.6,1.7,10,12.3,19.9,부안,,
19.8,3,13.8,16.1,20.3,부안,,
24.3,3.1,20.4,24,27.4,부안,,
23,1.4,19,22,24.9,부안,,
19.2,1.4,17.4,19.9,22.6,부안,,
20.5,1.4,14,16.2,23.2,부안,,
17,2.2,9.4,11.8,19.1,부안,,
16.6,1.3,10.7,12.9,23.9,부안,,
18.5,1.2,11,13.1,25.5,부안,,
19.1,1.2,11.5,13.6,25.7,부안,,
19.7,1.2,12.7,14.7,26.6,부안,,
19.8,1.4,12.5,14.6,26.5,부안,,
18.8,1.6,10.8,13,25.7,부안,,
18.2,1.2,12.7,14.7,23.2,부안,,
19.9,1.2,12.6,14.7,26.5,부안,,
18.9,0.8,13.6,15.6,22.1,부안,,
18.9,2.3,13.7,15.7,24.4,부안,,
19.5,2,11.4,13.6,25.9,부안,,
20.6,1.1,10,12.3,27.1,부안,,
22.9,2.1,9.1,11.6,22.7,부안,,
23.9,1.8,15.2,17.6,29.7,부안,,
23.4,1.8,19.2,22.2,30.5,부안,,
23.5,1.4,19,21.9,31.1,부안,,
21.3,1.8,17.3,19.8,27.6,부안,,
21.3,1.4,14.3,16.4,30.2,부안,,
23.5,1.3,13.8,15.8,31.8,부안,,
21,1.3,18.7,21.7,22.6,부안,,
22.9,1.9,20.4,24,24.9,부안,,
25.2,2,20.9,24.9,27.3,부안,,
24.3,2.4,21.1,25,25.7,부안,,
24.4,2.2,19.9,23.3,27,부안,,
24.3,1.2,18.8,21.8,29.6,부안,,
26.4,2.5,21.2,25.3,31.1,부안,,
25.4,4.6,22.4,27.1,24.3,부안,,
20.8,1.8,19.9,23.3,22.2,부안,,
21.6,1,17.6,20.1,26,부안,,
22.9,1.1,18.3,21.2,27.5,부안,,
21.6,1.2,19.8,23.1,22.4,부안,,
22.2,2.5,18.9,21.9,24.7,부안,,
23.2,1.8,19.3,22.4,28.1,부안,,
25.8,0.9,20.3,23.9,30.7,부안,,
27.4,1.5,23.7,29.3,33.2,부안,,
28.3,1.7,22.7,27.5,34.1,부안,,
28.6,1.5,23,28.1,35.8,부안,,
29,1.8,23.8,29.5,32.9,부안,,
14.3,2.1,11.3,13.7,15.3,임실,,
11.8,1.3,5.9,9.3,15.8,임실,,
10.4,1.1,8.3,11,13.9,임실,,
11.4,1.4,2.4,7.5,15,임실,,
10.5,0.6,6.2,9.6,13,임실,,
11.1,0.7,9.6,12,13.1,임실,,
12.8,1.2,6.9,10,16.7,임실,,
15,1.3,6.6,9.8,17.5,임실,,
14.4,1.7,12.8,14.9,15.7,임실,,
12.1,2.5,10.7,12.9,13.8,임실,,
13.1,1.3,9.2,11.7,16.1,임실,,
14.9,1.1,7.4,10.4,17.9,임실,,
16.8,0.8,8.7,11.3,18.5,임실,,
17.9,1.7,10.4,12.7,20,임실,,
19.9,1.7,17.5,20.1,20.4,임실,,
18.7,1.4,17.2,19.6,19.2,임실,,
19.1,1.5,16.1,18.4,21.2,임실,,
15.6,1.3,8.8,11.4,19.7,임실,,
18.5,2.2,13.2,15.4,20.4,임실,,
23.4,2.2,18.9,22,23.9,임실,,
23,1.2,19.2,22.3,24.2,임실,,
21.9,1.3,18.6,21.4,24.5,임실,,
19.4,1.5,9.5,11.9,20.6,임실,,
16.4,1.1,9,11.5,18.2,임실,,
16.2,1.3,9.6,12,20.5,임실,,
16.9,1.1,9.9,12.2,20.7,임실,,
17.9,1.1,10.8,13,20.9,임실,,
18.9,0.9,10.7,12.8,21.5,임실,,
18.6,1.1,10.9,13.1,21.4,임실,,
18.5,1.1,12.4,14.4,21.9,임실,,
18,1,12,14.1,20.5,임실,,
20.2,1,12.9,14.9,22.8,임실,,
17.4,0.8,14.5,16.5,20.2,임실,,
18.2,1.7,13.2,15.2,22.5,임실,,
18.2,1.8,8.9,11.5,21.6,임실,,
18.5,1,9.3,11.7,22.4,임실,,
19.5,0.9,11.3,13.4,20.8,임실,,
21.7,1,13.4,15.7,28.4,임실,,
23,1.1,17.6,20.2,27.6,임실,,
24.2,1.2,17.8,20.5,31.7,임실,,
21.8,1.4,16,18.2,30.4,임실,,
21.6,1.3,13,15,30.9,임실,,
22.5,1.2,13.7,15.7,32.1,임실,,
19.9,0.8,18,20.8,23,임실,,
23.3,1.2,21,24.9,25,임실,,
24.7,1.6,21,24.8,27.6,임실,,
23.2,1.8,20.5,24.2,25.6,임실,,
23.4,1.9,19.8,23.2,26.1,임실,,
24,0.9,18.3,21,27.7,임실,,
24.3,1.8,20.2,23.7,26.6,임실,,
24.4,2.6,21.9,26.3,24.8,임실,,
20.6,1.4,19.7,23.2,21.9,임실,,
20.7,0.8,16.3,18.5,25.9,임실,,
22.8,0.7,16.5,19,28.4,임실,,
20.3,0.7,18.2,20.9,23.3,임실,,
21.8,1.8,18.2,21,25.2,임실,,
22.7,1.4,18.2,20.9,27.1,임실,,
24.8,0.9,20,23.5,30,임실,,
26.2,1.2,22.7,27.7,30.4,임실,,
27.3,1.4,21.7,26.1,32.1,임실,,
27.2,1.1,22.1,26.7,31.8,임실,,
26.7,1.1,23.7,29.3,32.3,임실,,
13.3,1.7,8.3,11.5,13.5,장수,,
10.9,2.1,3.7,8,15.5,장수,,
9.1,1.9,6.5,9.7,11.3,장수,,
10.2,1.9,0.9,6.6,14.1,장수,,
9.6,0.8,3,7.8,11.6,장수,,
9.7,0.6,8.5,11.1,11.2,장수,,
11.2,1.1,6.6,9.8,17.1,장수,,
14.4,1,6.2,9.5,18,장수,,
14.1,2,11.9,14,14.1,장수,,
11.3,3.9,9.2,11.6,12.4,장수,,
11.8,1.5,8.5,11.2,13.6,장수,,
13.6,1.2,6.8,9.9,17.4,장수,,
16,1,7.1,10.1,17.7,장수,,
17.4,1.5,9.1,11.6,19.7,장수,,
20.1,2.1,16.9,19.3,21,장수,,
18.1,1.6,16.4,18.7,18.5,장수,,
18.5,1.9,15.1,17.2,21.6,장수,,
14,1.8,5.4,9.3,19.1,장수,,
17.7,2.6,10.9,13.7,20.3,장수,,
23.6,2.5,18.3,21.1,24.9,장수,,
22,1,17.7,20.2,23.9,장수,,
21.7,1.4,17.8,20.5,23.7,장수,,
17.8,1.2,8.7,11.4,20.6,장수,,
14.4,2,9.7,12.1,17.8,장수,,
15.2,1.7,9.6,11.9,21.1,장수,,
16.2,1.1,8.8,11.3,21.2,장수,,
17.2,1.3,9.5,11.9,21.2,장수,,
17.7,1,10.1,12.3,21.4,장수,,
16.3,1.2,11,13.2,20.3,장수,,
16.2,1.5,9.5,12,21,장수,,
16.4,1.1,10.9,13.1,19.9,장수,,
19,0.9,12.3,14.4,22.8,장수,,
16.8,1,13.7,15.8,19.4,장수,,
17.2,1.5,11.9,14.1,22.7,장수,,
17.4,2.2,5.9,9.4,23,장수,,
17.3,1,9,11.5,24.1,장수,,
18.6,1.1,10.6,12.8,21,장수,,
20.9,1.3,11.7,14.1,26.8,장수,,
22.4,1.1,16.6,18.9,27.7,장수,,
23.2,1.2,17.1,19.6,28.3,장수,,
21.7,1.5,14.9,17,29,장수,,
20.7,2.1,12.1,14.2,28.9,장수,,
21.4,1.1,13.7,15.7,31.2,장수,,
19.3,0.7,17.2,19.9,22.6,장수,,
22.2,1,20.6,24.3,23.5,장수,,
24.6,1.7,20.2,23.7,29,장수,,
22.1,1.9,19.6,22.9,23.2,장수,,
23.1,1.5,18.9,22,24.8,장수,,
22.7,1.1,16.7,19,27.4,장수,,
23.6,1.5,18.5,21.5,26.8,장수,,
24.1,2.9,20.7,24.3,23.7,장수,,
20.3,2.1,19.6,23,21.1,장수,,
19.5,0.8,15.4,17.5,24.4,장수,,
21.6,0.7,16.5,18.8,25.3,장수,,
19,0.6,17.4,20,21.4,장수,,
21.2,2,17.3,19.8,23.9,장수,,
22,1.8,17,19.4,24.7,장수,,
23.7,0.8,19.5,22.7,27.3,장수,,
25.7,1.3,21.5,25.7,28.8,장수,,
26.1,1.4,20.5,24.1,28.9,장수,,
26.5,1.3,21.3,25.3,28.6,장수,,
25.9,1.2,22.6,27.5,29,장수,,
